JUDUL,KELURAHAN,HARGA,LB,LT,KT,KM,GRS
Dijual Rumah di Kebon Baru,Kebon Baru,3000000000,200,200,4,3,0
Rumah,Bukit Duri,2100000000,162,162,3,3,2
Tebet Rumah siap huni,Tidak Diketahui,5800000000,180,141,4,3,2
Tebet Rumah hitung tanah,Tidak Diketahui,9300000000,385,386,6,4,4
Rumah Tebet Dijual Cepat Dengan Lokasi Strategis,Tidak Diketahui,2000000000,130,100,3,2,1
4 Bedrooms House Tebet,Tidak Diketahui,4000000000,200,140,4,3,2
8 Bedrooms House Tebet,Tidak Diketahui,6500000000,250,180,8,4,1
3 Bedrooms House Tebet,Tidak Diketahui,2850000000,160,135,3,2,2
Dijual Rumah Minimalis 3 Lantai ada Kolam Renang di Tebet,Tidak Diketahui,6800000000,300,200,5,5,4
Rumah Brand New Di Tebet Dekat Ke Jalan 3 Mobil Lt 112meter,Tidak Diketahui,3500000000,150,112,3,4,1
Rumah Siap Huni @ Tebet,Tidak Diketahui,3500000000,160,110,4,4,2
Rumah Mewah Bukit Duri,Bukit Duri,10500000000,800,457,7,5,2
Rumah Mewah Harga Murah Siap Huni Akses Strategis Di Tebet Pancoran,Tidak Diketahui,12500000009,480,312,6,4,4
Rumah Asem Baris Tebet,Tidak Diketahui,5500000000,265,250,4,3,2
Dijual rumah di komplek gudang peluru Tebet,Tidak Diketahui,5700000000,250,162,4,4,2
Rumah 2 lantai di Tebet Dalam,Tidak Diketahui,3000000000,90,160,5,4,1
Rumah Tebet Lokasi Strategis,Tidak Diketahui,9500000000,385,380,5,4,2
Rumah Minimalis Di Tebet,Tidak Diketahui,3750000000,160,110,3,3,2
Dijual cepat dan murah rumah startegis di Tebet Jakarta Selatan,Tidak Diketahui,3600000000,150,340,6,4,0
Rumah Di Tebet Nyaman Aman Strategis Jalanan Besar 2 Mobil Bebas Banjir,Tidak Diketahui,6500000000,170,89,3,3,1
Rumah Mewah 2 Lantai Di Asem Baris,Tidak Diketahui,7500000000,300,325,5,4,2
Rumah Mungil Di Tebet Siap Huni,Tidak Diketahui,2500000000,120,60,3,4,1
Rumah mininalis tebet,Tidak Diketahui,3900000000,200,130,5,4,1
Rumah Lux Tebet,Tidak Diketahui,16000000000,450,310,5,5,1
Rumah Baru Di Tebet Timur Lokasi Strategis,Tebet Timur,3999999999,200,130,4,3,2
Rumah Cantik Di Tebet Dekat Supomo Pancoran Kuningan Gatot Subroto,Tidak Diketahui,5800000000,170,141,4,3,1
TEBET - Kondisi Bagus,Tidak Diketahui,3900000000,170,100,5,3,2
TEBET - Siap Huni,Tidak Diketahui,3100000000,180,103,3,3,2
TEBET - Bagus Untuk Investasi dan Harga Sangat Menarik,Tidak Diketahui,3000000000,150,139,3,3,1
TEBET - Jalan 2 Mobil Lebar,Tidak Diketahui,14000000000,440,393,6,6,6
TEBET - Siap Huni Lokasi Bagus,Tidak Diketahui,13500000000,352,394,6,4,2
TEBET - Rumah Bagus,Tidak Diketahui,4000000000,200,135,4,3,2
TEBET - Rumah Baru,Tidak Diketahui,3500000000,120,90,3,2,2
TEBET - Siap Huni,Tidak Diketahui,4300000000,300,180,5,4,2
TEBET - Area Tenang,Tidak Diketahui,3900000000,180,154,4,3,2
Tebet rumah minimalis modern,Tidak Diketahui,2750000000,210,91,5,4,1
Dijual Rumah sangat strategis di Tebet Barat,Tebet Barat,2900000000,175,134,5,2,1
Rumah Tingkat 2 Lantai Di Komplek Gudang Peluru Tebet Jakarta Selatan,Tidak Diketahui,9500000000,500,345,8,5,4
Di jual rumah 2nd di tebet barat,Tebet Barat,2600000000,150,90,3,2,0
Di jual rumah di jl persada raya,Tidak Diketahui,4000000000,200,220,7,3,1
Rumah Baru Semi Furnished Depan TAMAN dekat Gelael,Tebet Barat,4000000000,180,105,5,4,1
Rumah Tebet Barat Dalam - Jakarta Selatan,Tebet Barat,3200000000,137,86,4,2,1
4 Bedrooms House Tebet,Tidak Diketahui,2600000000,160,93,4,4,1
Di Jual Rumah Cantik di Tebet Jalan 1 Mobil Jakarta Selatan,Tidak Diketahui,6300000000,250,180,4,3,1
Rumah Brand New Minimalis Modern Bebas Banjir di Tebet,Tidak Diketahui,3400000000,160,110,3,3,1
4 Bedrooms House Tebet,Tidak Diketahui,3250000000,200,90,4,3,1
Dijual Rumah Cantik Minimalis Di Tebet Dekat Taman,Tidak Diketahui,3000000000,150,95,4,4,1
Rumah Murah Siap Huni Akses 2 Mobil Tebet Timur Jak Sel,Tebet Timur,4100000000,180,155,4,3,1
Rumah Strategis Cocok Untuk Usaha Posisi Huk Di Tebet Timur,Tebet Timur,6500000000,130,160,4,1,2
Rumah Murah Akses Mobil Di Tebet Barat Jak Sel,Tebet Barat,1800000000,90,100,2,1,0
Rumah Strategis Siap Huni Akses 1mobil Di Tebet Barat,Tebet Barat,3500000000,150,135,4,3,1
Rumah Siap Huni Hanya 50meter Ke Jalan Asembaris Raya,Tidak Diketahui,2100000000,100,126,2,2,1
Rumah 2lantai Strategis Akses 2mobil Lokasi Asembaris Tebet,Tidak Diketahui,3000000000,200,125,2,2,1
Rumah Asri Siap Huni Strategis Lokasi Asembaris Bebas Banjir,Tidak Diketahui,2150000000,128,135,3,2,1
Rumah Baru 2,Tebet Timur,3000000000,200,90,3,2,2
Rumah Bagus Siap Huni Tebet Barat Jak Sel,Tebet Barat,3250000000,120,104,4,3,1
Rumah Sederhana Di Tebet Timur Jak Sel,Tebet Timur,1750000000,85,90,2,1,1
Rumah Murah Sekali Siap Huni Akses Gg 2 Motor Di Lap Roos Tebet,Tidak Diketahui,1500000000,200,170,7,2,0
Rumah Siap Huni Ada Kosan 4pintu Lokasi Tebet Barat Jak Sel,Tebet Barat,3800000000,200,145,8,8,1
Rumah Strategis Siap Huni Akses 1mobil Dekat Pasar Tebet Jak Sel,Tidak Diketahui,2500000000,120,100,3,2,1
Rumah Lama Layak Huni Akses 2 Mbl Bs Utk Kosan Di Menteng Dlm Jak Sel,Tidak Diketahui,4200000000,250,206,5,4,1
Rumah Siap Huni Akses 2mobil Strategis Di Asembaris Tebet,Tidak Diketahui,1100000000,70,70,2,1,0
Rumah Siap Huni 2lantai Akses 1mobil Di Asembaris Tebet,Tidak Diketahui,950000000,100,60,3,1,0
Rumah Baru Siap Huni Akses 2mobil Semi Furnised Lokasi Tebet Utara,Tidak Diketahui,4500000000,128,90,3,3,1
Rumah Siap Huni Posisi Huk Akses 2mobil 200meter Kejalan Supomo,Tidak Diketahui,7000000000,150,110,4,3,1
Rumah 2lantai Akses 2mobil Di Bukit Duri Tebet Jaksel,Bukit Duri,600000000,60,30,2,2,0
Rumah Strategis 100meter Ke Jl Supomo Di Menteng Dalam Tebet Jak Sel,Menteng Dalam,2600000000,100,140,3,2,1
Rumah Strategis Akses Jalan 2mobil Di Menteng Dalam Tebet Jak Sel,Menteng Dalam,9000000000,450,550,10,10,3
Tebet Rumah Siap Huni Jln 2 Mbl Nyaman,Tidak Diketahui,4000000000,160,140,4,3,2
Dijual Rumah Kokoh Di Gudang Peluru,Tidak Diketahui,10500000000,420,430,7,4,2
